text,type,department
"нет горячей воды второй день, дом 8 по ул. Победы",сообщение о неисправности,ЖКХ
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Лесная, д. 116, кв. 40 — приехали в течение часа, всё сделали аккуратно.",благодарность,ЖКХ
Сообщаю: на детской площадке возле ул. Советская д. 97 кв. 11 сломаны качели (отошла перекладина) дети могут травмироваться. Просьба отремонтировать/огородить.,сообщение о неисправности,Благоустройство
Прошу выдать направление в специализированное медучреждение для прикрепления к поликлинике. Амбулаторная карта находится в поликлинике №12.,заявление/ходатайство,Здравоохранение
"Прошу разобраться с работой регистратуры поликлиники №3: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"в подъезде течёт крыша, вода капает на лестницу",сообщение о неисправности,ЖКХ
"Сообщаю: на детской площадке возле ул. Советская, д. 25, кв. 72 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
"Сообщаю о неисправности: в подъезде по адресу ул. Лесная, д. 120, кв. 27 перегорело освещение на 3 этаже, ночью там полностью темно. Просьба заменить лампу.",сообщение о неисправности,ЖКХ
Сообщаю: на детской площадке возле ул. Парковая д. 68 кв. 39 сломаны качели (отошла перекладина) дети могут травмироваться. Просьба отремонтировать/огородить. Заранее спасибо.,сообщение о неисправности,Благоустройство
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Советская, д. 8, кв. 28 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Сообщаю: на детской площадке возле наб. Реки, д. 78, кв. 41 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
Прошу выдать направление в специализированное медучреждение для санаторно-курортного лечения. Амбулаторная карта находится в поликлинике №13.,заявление/ходатайство,Здравоохранение
"Здравствуйте! Во дворе по адресу ул. Карла Маркса, д. 79, кв. 86 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
"  во дворе огромная лужа после дождя, никто не убирает  ",сообщение о неисправности,Благоустройство
