text,label
"Прошу обратить внимание: График вывоза мусора не соблюдается, контейнеры переполнены. График вывоза мусора не соблюдается, контейнеры переполнены. На лестничной площадке перегорела лампа, темно и небезопасно. Лифтовое оборудование периодически отключается без предупреждения. Прошу зарегистрировать обращение и назначить ответственного.",жалоба_ЖКХ
"На лестничной площадке перегорела лампа, темно и небезопасно. Уже несколько дней в квартире отсутствует горячая вода. Лифтовое оборудование периодически отключается без предупреждения. Уже несколько дней в квартире отсутствует горячая вода. Лифтовое оборудование периодически отключается без предупреждения. Прошу зарегистрировать обращение и назначить ответственного.",жалоба_ЖКХ
"На лестничной площадке перегорела лампа, темно и небезопасно. На лестничной площадке перегорела лампа, темно и небезопасно. Уже несколько дней в квартире отсутствует горячая вода. Уже несколько дней в квартире отсутствует горячая вода. Буду признателен за скорейший ответ.",жалоба_ЖКХ
"Прошу обратить внимание: Лифтовое оборудование периодически отключается без предупреждения. На лестничной площадке перегорела лампа, темно и небезопасно. Управляющая компания не отвечает на звонки. Ожидаю вашего ответа в письменной форме.",жалоба_ЖКХ
"Уже несколько дней в квартире отсутствует горячая вода. Уже несколько дней в квартире отсутствует горячая вода. На лестничной площадке перегорела лампа, темно и небезопасно. Лифтовое оборудование периодически отключается без предупреждения.",жалоба_ЖКХ
"На лестничной площадке перегорела лампа, темно и небезопасно. Лифтовое оборудование периодически отключается без предупреждения. Уже несколько дней в квартире отсутствует горячая вода. Лифтовое оборудование периодически отключается без предупреждения. Ожидаю вашего ответа в письменной форме.",жалоба_ЖКХ
"Уже несколько дней в квартире отсутствует горячая вода. Уже несколько дней в квартире отсутствует горячая вода. На лестничной площадке перегорела лампа, темно и небезопасно. Управляющая компания не отвечает на звонки. Прошу зарегистрировать обращение и назначить ответственного.",жалоба_ЖКХ
"Уже несколько дней в квартире отсутствует горячая вода. На лестничной площадке перегорела лампа, темно и небезопасно. На лестничной площадке перегорела лампа, темно и небезопасно. Управляющая компания не отвечает на звонки. Прошу принять меры и сообщить о результатах.",жалоба_ЖКХ
"На лестничной площадке перегорела лампа, темно и небезопасно. Уже несколько дней в квартире отсутствует горячая вода. Управляющая компания не отвечает на звонки. Уже несколько дней в квартире отсутствует горячая вода. Прошу зарегистрировать обращение и назначить ответственного.",жалоба_ЖКХ
"Прошу обратить внимание: На лестничной площадке перегорела лампа, темно и небезопасно. Уже несколько дней в квартире отсутствует горячая вода. Лифтовое оборудование периодически отключается без предупреждения. Прошу зарегистрировать обращение и назначить ответственного.",жалоба_ЖКХ
"Обращаюсь по вопросу: Управляющая компания не отвечает на звонки. График вывоза мусора не соблюдается, контейнеры переполнены. Уже несколько дней в квартире отсутствует горячая вода.",жалоба_ЖКХ
"Управляющая компания не отвечает на звонки. Управляющая компания не отвечает на звонки. График вывоза мусора не соблюдается, контейнеры переполнены. Буду признателен за скорейший ответ.",жалоба_ЖКХ
