text,label
"Жители нашего дома отмечают, что Рекомендую установить дополнительные фонари в тёмных местах двора. Предлагаю организовать онлайн-запись на приём в администрации для сокращения очередей. Можно обустроить велодорожку вдоль парка — это повысит безопасность велосипедистов. Предлагаю ввести дополнительные вечерние рейсы общественного транспорта по случаю мероприятий.",предложение
"Жители нашего дома отмечают, что Прошу выслать бланк заявления для оформления парковочного разрешения. Необходимо оформить разрешение на временную торговлю в рамках мероприятия. Нужно зарегистрировать адрес проживания после переезда, прошу подсказать список документов. Буду благодарен за скорейший ответ.",запрос услуги
"Жители нашего дома отмечают, что Предлагаю организовать регулярные субботники с участием жителей и администрации. Предлагаю увеличить количество мест для парковки рядом с детскими садами. Стоит рассмотреть установку пандусов у входов в общественные здания. Стоит продумать систему вознаграждений за помощь в благоустройстве района. Предлагаю организовать онлайн-запись на приём в администрации для сокращения очередей.",предложение
"Прошу обратить внимание: Какие контакты службы поддержки по вопросам транспорта доступны? Куда обращаться, если в квартире протекает крыша и кто должен ремонтировать? Кто выдаёт разрешение на установку вывесок и какие документы нужны? Буду благодарен за скорейший ответ.",вопрос
"Прошу обратить внимание: В офисе социальной службы меня направили по другому адресу, пришлось ездить несколько раз. Отсутствие дорожной разметки создаёт аварийные ситуации каждое утро. Дворник не выполняет свои обязанности, вокруг дома валяются листья и мусор. Громкая музыка и шум по ночам мешают спать жильцам многоэтажки. В подъезде не работают дверные замки, подрядчик не пришёл на ремонт. Прошу принять меры и сообщить о результатах.",жалоба
Уже несколько недель не работает лифт в нашем доме. Детская площадка в запущенном состоянии: сломаны качели и порвано покрытие. Громкая музыка и шум по ночам мешают спать жильцам многоэтажки. Буду благодарен за скорейший ответ.,жалоба
"Жители нашего дома отмечают, что Как получить информацию о графике вывоза крупногабаритного мусора? Как проверить очередь на получение социальной помощи в своём районе? Как узнать дату планового отключения электроэнергии в районе? Какие контакты службы поддержки по вопросам транспорта доступны? Можно ли получить консультацию по оформлению субсидии по месту жительства?",вопрос
"Жители нашего дома отмечают, что Прошу выслать бланк заявления для оформления парковочного разрешения. Прошу назначить дату проверки вентиляции в здании детского сада. Необходимо оформить временную прописку, прошу разъяснить процедуру и сроки. Нужно зарегистрировать адрес проживания после переезда, прошу подсказать список документов. Хочу подать заявку на подключение к программе льготного parkovka для инвалидов.",запрос услуги
"Хочу оформить компенсацию расходов на установку пандуса для входа в дом. Необходимо оформить временную прописку, прошу разъяснить процедуру и сроки. Прошу направить специалиста для проверки состояния отопления в квартире. Хочу подать заявку на подключение к программе льготного parkovka для инвалидов.",запрос услуги
Прошу обратить внимание: Предлагаю увеличить количество мест для парковки рядом с детскими садами. Предлагаю закрепить за двором ответственного волонтёра для срочных обращений. Можно организовать мастер-классы для школьников по безопасности на дорогах. Прошу зарегистрировать обращение и направить специалиста.,предложение
