text,label
"Сообщаю по существу вопроса. Талоны к узким специалистам разбираются за минуты, записи не хватает. Телефон регистратуры не отвечает, невозможно уточнить информацию. Сайт поликлиники часто не работает, запись недоступна. Жалобы оставленные через форму обратной связи остаются без ответа. Прошу зарегистрировать обращение и направить ответ.",жалоба_здравоохранение
"Сообщаю по существу вопроса. Детская площадка в неудовлетворительном состоянии: качели расшатаны. Траву на газонах давно не косили, территория выглядит заброшенной. Деревья разрослись и закрывают обзор на пешеходном переходе. Уличное освещение на аллее не работает, по вечерам очень темно. На остановке общественного транспорта отсутствует павильон от дождя.",жалоба_благоустройство
Обращаюсь с официальной просьбой. Предлагаю расширить расписание приёма терапевта в вечернее время. Предлагаю размещать результаты анализов в личном кабинете пациента. Хорошо бы установить кулеры с водой в зонах ожидания. Стоит организовать дополнительный день вакцинации по субботам.,предложение_здравоохранение
"Обращаюсь с официальной просьбой. Траву на газонах давно не косили, территория выглядит заброшенной. Асфальт во дворе разрушен, после дождя образуются большие лужи. Зебра на дороге стерлась, автомобилисты не уступают пешеходам. Скамейки у подъездов сломаны, сидеть небезопасно. Буду признателен за обратную связь в установленные сроки.",жалоба_благоустройство
"Сообщаю по существу вопроса. Информация на стендах устарела, графики приёма не совпадают. В процедурном кабинете перебои с расходными материалами. Приём начинается позже расписания, пациенты вынуждены ждать. В поликлинике большая очередь на регистрацию, ожидаем дольше часа. Прошу дать официальный ответ в письменном виде.",жалоба_здравоохранение
"Прошу обратить внимание: Прошу направить результат анализов в личный кабинет пациента. Прошу записать на повторный приём к врачу в ближайшую возможную дату. Необходимо продлить больничный лист, прошу дать инструкцию по оформлению.",запрос_здравоохранение
"Прошу обратить внимание: Приём начинается позже расписания, пациенты вынуждены ждать. Сайт поликлиники часто не работает, запись недоступна. Жалобы оставленные через форму обратной связи остаются без ответа. Информация на стендах устарела, графики приёма не совпадают. Прошу рассмотреть обращение и сообщить о принятых мерах.",жалоба_здравоохранение
Прошу обратить внимание: Необходимо оформить направление к узкому специалисту по показаниям. Прошу оформить выписку рецептов на льготные препараты. Прошу зарегистрировать обращение по корректировке записи в расписании. Необходимо оформить справку об иммунизации для учебного заведения. Прошу зарегистрировать обращение и направить ответ.,запрос_здравоохранение
Сообщаю по существу вопроса. Можно установить информационные таблички с правилами выгула собак. Предлагаю оборудовать велопарковки у поликлиники и библиотеки. Полезно поставить навесы на остановках для защиты от осадков. Предлагаю установить дополнительные урны вдоль прогулочной зоны.,предложение_благоустройство
Сообщаю по существу вопроса. Можно заменить лампы в подъездах на энергосберегающие с датчиками движения. Полезно добавить информационный стенд с графиком работ по дому. Предлагаю организовать сбор заявок на мелкий ремонт через онлайн‑форму. Предлагаю внедрить уведомления о плановых отключениях в мессенджере дома. Прошу рассмотреть возможность установки домофона с видеонаблюдением.,предложение_ЖКХ
От имени жителей нашего дома сообщаю: Прошу организовать регулярный полив зелёных насаждений в жаркий период. Прошу оформить заявку на ремонт покрытия детской площадки. Прошу спилить аварийные ветки над тротуаром у школы. Прошу провести сезонную обработку от клещей на территории сквера. Прошу организовать ямочный ремонт дворовой дороги в ближайшие сроки.,запрос_благоустройство
Обращаюсь с официальной просьбой. Предлагаю сделать отдельное окно консультаций по телефону для пожилых. Предлагаю размещать результаты анализов в личном кабинете пациента. Стоит организовать дополнительный день вакцинации по субботам.,предложение_здравоохранение
"Сообщаю по существу вопроса. Деревья разрослись и закрывают обзор на пешеходном переходе. На контейнерной площадке отсутствует ограждение, мусор разносит ветром. Тротуары у школы покрыты льдом, нет песка и реагентов. Уличное освещение на аллее не работает, по вечерам очень темно.",жалоба_благоустройство
Прошу обратить внимание: Прошу произвести опломбировку нового водосчётчика и внести показания. Прошу оформить заявку на замену счётчика горячей воды. Прошу направить специалиста для проверки системы отопления в квартире. Нужно организовать промывку батарей и балансировку стояков.,запрос_ЖКХ
Обращаюсь с официальной просьбой. Предлагаю внедрить уведомления о плановых отключениях в мессенджере дома. Прошу рассмотреть возможность установки домофона с видеонаблюдением. Полезно добавить информационный стенд с графиком работ по дому. Надеюсь на оперативное решение вопроса.,предложение_ЖКХ
